,actual,predicted
2018-10-11 19:00:00,6301.26,6632.210260614754
2018-10-11 20:00:00,6291.48,6354.698621481658
2018-10-11 21:00:00,6252.68,6645.848864927889
2018-10-11 22:00:00,6251.83,6391.664848431946
2018-10-11 23:00:00,6282.42,6569.69779649377
2018-10-12 00:00:00,6291.62,6600.275476813317
2018-10-12 01:00:00,6308.11,6520.285119652749
2018-10-12 02:00:00,6315.99,6507.981509685517
2018-10-12 03:00:00,6319.0,6590.3213972747335
2018-10-12 04:00:00,6328.69,6435.532355234028
2018-10-12 05:00:00,6332.61,6607.964239373804
2018-10-12 06:00:00,6328.64,6775.3415775597105
2018-10-12 07:00:00,6305.99,6593.428848758341
2018-10-12 08:00:00,6313.36,6738.349266797305
2018-10-12 09:00:00,6309.49,6547.7819291353235
2018-10-12 10:00:00,6323.01,6601.445522099734
2018-10-12 11:00:00,6313.24,6468.352994978429
2018-10-12 12:00:00,6319.96,6653.739590719343
2018-10-12 13:00:00,6341.69,6684.009730473162
2018-10-12 14:00:00,6325.01,6401.010057270528
2018-10-12 15:00:00,6306.37,6423.895745605231
2018-10-12 16:00:00,6311.44,6635.715676546098
2018-10-12 17:00:00,6320.52,6570.049058496953
2018-10-12 18:00:00,6322.22,6760.631549611689
2018-10-12 19:00:00,6315.23,6771.727851703764
2018-10-12 20:00:00,6309.02,6532.507248759271
2018-10-12 21:00:00,6298.01,6408.554737821222
2018-10-12 22:00:00,6317.31,6428.135234534741
2018-10-12 23:00:00,6318.3,6436.749102964998
2018-10-13 00:00:00,6310.25,6713.7211798131475
2018-10-13 01:00:00,6296.01,6619.2838685810575
2018-10-13 02:00:00,6315.09,6638.479815378786
2018-10-13 03:00:00,6311.2,6414.64766791463
2018-10-13 04:00:00,6321.04,6455.865556240083
2018-10-13 05:00:00,6318.47,6384.910383179785
2018-10-13 06:00:00,6312.02,6371.988462656737
2018-10-13 07:00:00,6322.77,6447.940797284246
2018-10-13 08:00:00,6326.08,6746.376622080804
2018-10-13 09:00:00,6327.25,6732.176594763995
2018-10-13 10:00:00,6325.28,6617.0515910983095
