date,open,high,low,close,volume
1540211040,3.18e-06,3.18e-06,3.18e-06,3.18e-06,1181.0
1540211100,3.17e-06,3.17e-06,3.17e-06,3.17e-06,1186.0
1540211160,3.18e-06,3.18e-06,3.18e-06,3.18e-06,9.0
1540211220,3.17e-06,3.18e-06,3.17e-06,3.17e-06,3939.0
1540211280,3.19e-06,3.19e-06,3.18e-06,3.18e-06,2435.0
1540211340,3.17e-06,3.17e-06,3.17e-06,3.17e-06,1515.0
1540211400,3.17e-06,3.18e-06,3.17e-06,3.17e-06,20519.0
1540211460,3.17e-06,3.17e-06,3.16e-06,3.17e-06,8208.0
1540211520,3.16e-06,3.17e-06,3.16e-06,3.17e-06,39833.0
1540211580,3.17e-06,3.17e-06,3.16e-06,3.16e-06,31852.0
1540211640,3.17e-06,3.17e-06,3.17e-06,3.17e-06,12752.0
1540211700,3.16e-06,3.17e-06,3.16e-06,3.17e-06,25850.0
1540211760,3.16e-06,3.17e-06,3.16e-06,3.17e-06,1391.0
1540211820,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0
1540211880,3.17e-06,3.17e-06,3.17e-06,3.17e-06,8260.0
1540211940,3.18e-06,3.18e-06,3.18e-06,3.18e-06,19.0
1540212000,3.18e-06,3.18e-06,3.18e-06,3.18e-06,0.0
1540212060,3.17e-06,3.17e-06,3.17e-06,3.17e-06,1260.0
1540212120,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0
1540212180,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0
1540212240,3.17e-06,3.17e-06,3.17e-06,3.17e-06,3144.0
1540212300,3.17e-06,3.17e-06,3.17e-06,3.17e-06,13553.0
1540212360,3.17e-06,3.17e-06,3.17e-06,3.17e-06,3785.0
1540212420,3.18e-06,3.18e-06,3.18e-06,3.18e-06,17688.0
1540212480,3.18e-06,3.18e-06,3.18e-06,3.18e-06,9940.0
1540212540,3.17e-06,3.17e-06,3.17e-06,3.17e-06,3694.0
1540212600,3.17e-06,3.17e-06,3.17e-06,3.17e-06,28568.0
1540212660,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0
1540212720,3.18e-06,3.18e-06,3.18e-06,3.18e-06,16421.0
1540212780,3.17e-06,3.18e-06,3.17e-06,3.18e-06,22448.0
1540212840,3.19e-06,3.19e-06,3.18e-06,3.18e-06,11197.0
1540212900,3.18e-06,3.18e-06,3.18e-06,3.18e-06,22633.0
1540212960,3.18e-06,3.18e-06,3.18e-06,3.18e-06,18781.0
1540213020,3.18e-06,3.18e-06,3.18e-06,3.18e-06,8602.0
1540213080,3.17e-06,3.18e-06,3.17e-06,3.18e-06,73112.0
1540213140,3.18e-06,3.18e-06,3.18e-06,3.18e-06,14935.0
1540213200,3.18e-06,3.18e-06,3.18e-06,3.18e-06,16411.0
1540213260,3.18e-06,3.18e-06,3.18e-06,3.18e-06,16506.0
1540213320,3.18e-06,3.18e-06,3.18e-06,3.18e-06,32398.0
1540213380,3.17e-06,3.19e-06,3.17e-06,3.19e-06,16226.0
1540213440,3.18e-06,3.18e-06,3.17e-06,3.18e-06,17697.0
1540213500,3.18e-06,3.19e-06,3.18e-06,3.19e-06,31414.0
1540213560,3.19e-06,3.19e-06,3.19e-06,3.19e-06,0.0
1540213620,3.19e-06,3.19e-06,3.18e-06,3.18e-06,20163.0
1540213680,3.18e-06,3.18e-06,3.17e-06,3.17e-06,6085.0
1540213740,3.18e-06,3.18e-06,3.18e-06,3.18e-06,39564.0
1540213800,3.18e-06,3.18e-06,3.18e-06,3.18e-06,0.0
1540213860,3.18e-06,3.18e-06,3.18e-06,3.18e-06,3946.0
1540213920,3.17e-06,3.18e-06,3.17e-06,3.18e-06,14063.0
1540213980,3.19e-06,3.2e-06,3.19e-06,3.19e-06,95659.0
1540214040,3.19e-06,3.19e-06,3.19e-06,3.19e-06,23062.0
1540214100,3.18e-06,3.18e-06,3.18e-06,3.18e-06,6418.0
1540214160,3.19e-06,3.19e-06,3.19e-06,3.19e-06,2602.0
1540214220,3.19e-06,3.19e-06,3.18e-06,3.19e-06,15420.0
1540214280,3.19e-06,3.19e-06,3.19e-06,3.19e-06,12092.0
1540214340,3.19e-06,3.19e-06,3.19e-06,3.19e-06,34904.0
1540214400,3.19e-06,3.19e-06,3.19e-06,3.19e-06,0.0
1540214460,3.2e-06,3.2e-06,3.19e-06,3.2e-06,17674.0
1540214520,3.19e-06,3.2e-06,3.19e-06,3.19e-06,14488.0
1540214580,3.2e-06,3.2e-06,3.2e-06,3.2e-06,23935.0
1540214640,3.2e-06,3.2e-06,3.19e-06,3.19e-06,36980.0
