Time,dock coin: (Worldwide)
2018-10-16T14,17
2018-10-16T15,7
2018-10-16T16,3
2018-10-16T17,7
2018-10-16T18,4
2018-10-16T19,11
2018-10-16T20,4
2018-10-16T21,0
2018-10-16T22,0
2018-10-16T23,12
2018-10-17T00,6
2018-10-17T01,0
2018-10-17T02,0
2018-10-17T03,11
2018-10-17T04,13
2018-10-17T05,0
2018-10-17T06,12
2018-10-17T07,11
2018-10-17T08,5
2018-10-17T09,10
2018-10-17T10,19
2018-10-17T11,14
2018-10-17T12,8
2018-10-17T13,7
2018-10-17T14,14
2018-10-17T15,10
2018-10-17T16,7
2018-10-17T17,7
2018-10-17T18,7
2018-10-17T19,8
2018-10-17T20,12
2018-10-17T21,5
2018-10-17T22,0
2018-10-17T23,18
2018-10-18T00,0
2018-10-18T01,6
2018-10-18T02,0
2018-10-18T03,0
2018-10-18T04,0
2018-10-18T05,0
2018-10-18T06,0
2018-10-18T07,6
2018-10-18T08,0
2018-10-18T09,20
2018-10-18T10,0
2018-10-18T11,0
2018-10-18T12,8
2018-10-18T13,8
2018-10-18T14,4
2018-10-18T15,10
2018-10-18T16,0
2018-10-18T17,7
2018-10-18T18,4
2018-10-18T19,4
2018-10-18T20,12
2018-10-18T21,5
2018-10-18T22,5
2018-10-18T23,0
2018-10-19T00,0
2018-10-19T01,0
2018-10-19T02,6
2018-10-19T03,0
2018-10-19T04,0
2018-10-19T05,0
2018-10-19T06,0
2018-10-19T07,6
2018-10-19T08,11
2018-10-19T09,20
2018-10-19T10,15
2018-10-19T11,9
2018-10-19T12,13
2018-10-19T13,4
2018-10-19T14,15
2018-10-19T15,11
2018-10-19T16,0
2018-10-19T17,8
2018-10-19T18,4
2018-10-19T19,8
2018-10-19T20,9
2018-10-19T21,10
2018-10-19T22,5
2018-10-19T23,13
2018-10-20T00,0
2018-10-20T01,0
2018-10-20T02,0
2018-10-20T03,7
2018-10-20T04,0
2018-10-20T05,0
2018-10-20T06,0
2018-10-20T07,0
2018-10-20T08,0
2018-10-20T09,6
2018-10-20T10,5
2018-10-20T11,5
2018-10-20T12,20
2018-10-20T13,4
2018-10-20T14,4
2018-10-20T15,8
2018-10-20T16,4
2018-10-20T17,20
2018-10-20T18,8
2018-10-20T19,9
2018-10-20T20,9
2018-10-20T21,5
2018-10-20T22,0
2018-10-20T23,0
2018-10-21T00,0
2018-10-21T01,7
2018-10-21T02,0
2018-10-21T03,7
2018-10-21T04,7
2018-10-21T05,0
2018-10-21T06,22
2018-10-21T07,20
2018-10-21T08,6
2018-10-21T09,17
2018-10-21T10,16
2018-10-21T11,21
2018-10-21T12,10
2018-10-21T13,27
2018-10-21T14,0
2018-10-21T15,12
2018-10-21T16,4
2018-10-21T17,8
2018-10-21T18,4
2018-10-21T19,0
2018-10-21T20,4
2018-10-21T21,0
2018-10-21T22,0
2018-10-21T23,12
2018-10-22T00,0
2018-10-22T01,0
2018-10-22T02,0
2018-10-22T03,0
2018-10-22T04,0
2018-10-22T05,0
2018-10-22T06,0
2018-10-22T07,6
2018-10-22T08,0
2018-10-22T09,0
2018-10-22T10,5
2018-10-22T11,9
2018-10-22T12,12
2018-10-22T13,0
2018-10-22T14,3
2018-10-22T15,6
2018-10-22T16,7
2018-10-22T17,3
2018-10-22T18,3
2018-10-22T19,7
2018-10-22T20,8
2018-10-22T21,9
2018-10-22T22,5
2018-10-22T23,6
2018-10-23T00,0
2018-10-23T01,12
2018-10-23T02,0
2018-10-23T03,12
2018-10-23T04,13
2018-10-23T05,33
2018-10-23T06,100
2018-10-23T07,23
2018-10-23T08,25
2018-10-23T09,72
2018-10-23T10,94
2018-10-23T11,80
2018-10-23T12,68
2018-10-23T13,51
